asin,product_name,reviewerID,summary,reviewText,overall_ratings
9983891212,Premium Canon Mini HDMI cable 10 feet,AEXS7M2VKYQ7D,Great product for the price,"Bought this to hook up my Motorola Photon 4G to my 60 inch TV. worked like a charm. you cant beat the price too. all in all, its a good product to have if your internet is down and you want to stream HDMI from your phone/device to your TV like Netflix etc.",5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,AEQZYT45D9V5R,The 1450 doesn't have this accessory,"On many cars the electric outlets turn off after a period of time when the car is turned off. So, if you want to charge from an electric outlet you need this charger. Works well and fast.",5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A32UWXGT2UZIPT,It's nice to be ready.,I like to know that when I need a device I can use it when I feel like so the need to have it ready and going made me get this at home charger for my Garmin. Now I can go and around on foot and know that where there is an outlet I can charge up again and go. SLM,5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A2A3BLPBHISRZ4,Not sure about this one?,"This appears to be a generic charger, not specifically designed for the Garmin Nuvi 1450 GPS, at least I could find no data with the charger that tied it to this GPS.  I decided no to use the charger on my GPS for fear I may damage it.  To return it would cost more in shipping than the charger is worth.",1
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A1LCR2QXP8PBB5,sturdy construction. Works well with the Garmen,"This product is of sturdy construction. Works well with the Garmin, and you can't beat the low price of this vender.",5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A2G8DGQ8CHJUQM,It was a gift for my grandson.,"He used it a few weeks and it didn't work after that. He had to return it and they sent him another one. As far as I know, this one is working fine. I know initially he enjoyed using it.",5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A3BFPY4HS3FG9C,great,"I use a car charger more than i use the wall charger, but the wall charger comes in handy at the house",5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A2YORH3MSOM6P8,AC Home Charger,I bought this AC charger for my GPS so that I could charge it in the house when I get home from a trip instead of leaving it in the car to charge.  I would recomend this to anyone.,5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A10ZEOXLINIOEP,Garmin Nuvi charger,"What can I say....it does the job with no problems.  Actually, since I use my Garmin a lot in my car, it keeps a charge without having to charge it at home.",5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A2WXLG4AYEDOQI,Unuseable product,"The price was certainly right!  However, at ANY price, the product was worthless.  The adapter size was OK and the cord was long enough... BUT the connector end was wrong.  The shape was correct, but the size of the connector was much too small and would not fit the GPS device it was intended for, even though the Amazon description was very specific that this adapter was correct for the Garmin Nuvi 1450 it was bought for.  Since the cost was nearly nil (other than a couple of bucks for shipping), I did not pursue replacement.  I am still without an AC charger.",1
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A3CSDS5RW4XUPG,Not A Garmin,"This is not a Garmin charger ,it is a MOT-V3CE .It works ,but it not as advertised .This also doesnt matter but the light is Green not Red also as advertised",1
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A12L8U16SFK06N,GOOD POCKET CAMERA,I didn't expect this camera to  be as good as it is. Takes good pictures and videos. But I am glad that I didn't buy from Kodac: their price is pricey. I gave less than $100 and consider this money well spent.I would recommend this camera.,4
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A1KD8MR1V4JVK0,Seemed okay for about 6 hours....,"Well it seemed to be working fine for about six hours, then it began discharging my GPS completely.  Had to charge it several hours in car to get it working again.",1
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A7SXKE8X1ZZ21,Works Fine,Just recieved my charger works fine ! did not understand all the negative reviews. can't beat the price. shipped on time. like HDE,5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A3DKP8M0GSP8UK,Save your MONEY,"First of all, this product charges my Garmin 1450 very slowly. I had it plugged in using this device for 3 hours and it still was not fully charged. You may as well use the blackberry cell cord to charge; it also takes this long to charge the device. The car charger will charge the 1450 fully in about 1 hour. Waste of my money.",1
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A1EDPGHC9EYBUN,home maker,these were a great addition to my gps but i wish i didn't have to buy everything seperatly but this is necessary to the gps,5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A2L3OAPBMBGHHD,Works great!,I bought the wall charger because I bring my Garmin into the house each night.  I thought it would be easier to have it charge at night for use the following day. Now I don't need to use the car charger unless the battery gets low during extended use.,5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,ABGBROXAT83JH,Garmin home charger,Works as escribed. Shiiping container damaged but no harm to the charger. I use it to charge my Garminwhen I use it at home.,5
9984984354,Garmin Nuvi 1450 GPS Standard Red LED Wall / AC / Home Charge- Garmin Nuvi 1450 GPS,A2NUN3UYLJYKFN,Too Cheap to be Useful,This product was ultra cheap at $3.18 however it didn't work. Apparently it is possible to spend too little. You get what you pay for! For $8.50 I purchased a plug adapter and lighter adapter that works by allowing a standard USB cord to be plugged into either. The alternate vendor's product worked well.,1
